date,pollutant,concentration
July 2017,CO,0.716
August 2017,CO,0.661
September 2017,CO,0.682
October 2017,CO,0.68
November 2017,CO,0.699
December 2017,CO,0.679
January 2018,CO,0.671
February 2018,CO,0.677
March 2018,CO,0.654
April 2018,CO,0.682
May 2018,CO,0.671
June 2018,CO,0.648
July 2018,CO,0.653
August 2018,CO,0.655
September 2018,CO,0.615
October 2018,CO,0.632
November 2018,CO,0.636
December 2018,CO,0.626
January 2019,CO,0.636
February 2019,CO,0.588
March 2019,CO,0.669
April 2019,CO,0.644
May 2019,CO,0.627
June 2019,CO,0.585
July 2019,CO,0.629
August 2019,CO,0.708
September 2019,CO,0.888
October 2019,CO,0.629
November 2019,CO,0.633
December 2019,CO,0.565
January 2020,CO,0.553
February 2020,CO,0.544
March 2020,CO,0.542
April 2020,CO,0.473
May 2020,CO,0.496
June 2020,CO,0.529
July 2020,CO,0.545
August 2020,CO,0.585
September 2020,CO,0.555
October 2020,CO,0.548
November 2020,CO,0.549
December 2020,CO,0.62
January 2021,CO,0.549
February 2021,CO,0.533
March 2021,CO,0.538
April 2021,CO,0.563
May 2021,CO,0.526
June 2021,CO,0.488
July 2021,CO,0.518
August 2021,CO,0.494
September 2021,CO,0.531
October 2021,CO,0.564
November 2021,CO,0.539
December 2021,CO,0.562
July 2017,NO2,0.0082
August 2017,NO2,0.0078
September 2017,NO2,0.0076
October 2017,NO2,0.0082
November 2017,NO2,0.008
December 2017,NO2,0.0074
January 2018,NO2,0.0078
February 2018,NO2,0.0069
March 2018,NO2,0.0074
April 2018,NO2,0.0075
May 2018,NO2,0.0076
June 2018,NO2,0.0074
July 2018,NO2,0.0096
August 2018,NO2,0.0077
September 2018,NO2,0.0079
October 2018,NO2,0.0076
November 2018,NO2,0.0074
December 2018,NO2,0.007
January 2019,NO2,0.0066
February 2019,NO2,0.0063
March 2019,NO2,0.0074
April 2019,NO2,0.0077
May 2019,NO2,0.0074
June 2019,NO2,0.0069
July 2019,NO2,0.0075
August 2019,NO2,0.0076
September 2019,NO2,0.0081
October 2019,NO2,0.0074
November 2019,NO2,0.0073
December 2019,NO2,0.0061
January 2020,NO2,0.0059
February 2020,NO2,0.0057
March 2020,NO2,0.0051
April 2020,NO2,0.0032
May 2020,NO2,0.0047
June 2020,NO2,0.0061
July 2020,NO2,0.0065
August 2020,NO2,0.0064
September 2020,NO2,0.0064
October 2020,NO2,0.0066
November 2020,NO2,0.0061
December 2020,NO2,0.0065
January 2021,NO2,0.0054
February 2021,NO2,0.0052
March 2021,NO2,0.0062
April 2021,NO2,0.0069
May 2021,NO2,0.0059
June 2021,NO2,0.0046
July 2021,NO2,0.0048
August 2021,NO2,0.0049
September 2021,NO2,0.0058
October 2021,NO2,0.0063
November 2021,NO2,0.0063
December 2021,NO2,0.006
July 2017,O3,0.016
August 2017,O3,0.016
September 2017,O3,0.015
October 2017,O3,0.017
November 2017,O3,0.015
December 2017,O3,0.02
January 2018,O3,0.015
February 2018,O3,0.024
March 2018,O3,0.019
April 2018,O3,0.019
May 2018,O3,0.017
June 2018,O3,0.017
July 2018,O3,0.018
August 2018,O3,0.02
September 2018,O3,0.017
October 2018,O3,0.016
November 2018,O3,0.016
December 2018,O3,0.015
January 2019,O3,0.02
February 2019,O3,0.02
March 2019,O3,0.023
April 2019,O3,0.019
May 2019,O3,0.017
June 2019,O3,0.016
July 2019,O3,0.019
August 2019,O3,0.02
September 2019,O3,0.022
October 2019,O3,0.016
November 2019,O3,0.016
December 2019,O3,0.018
January 2020,O3,0.019
February 2020,O3,0.02
March 2020,O3,0.019
April 2020,O3,0.018
May 2020,O3,0.017
June 2020,O3,0.015
July 2020,O3,0.014
August 2020,O3,0.016
September 2020,O3,0.013
October 2020,O3,0.014
November 2020,O3,0.013
December 2020,O3,0.016
January 2021,O3,0.019
February 2021,O3,0.023
March 2021,O3,0.016
April 2021,O3,0.017
May 2021,O3,0.015
June 2021,O3,0.016
July 2021,O3,0.016
August 2021,O3,0.013
September 2021,O3,0.014
October 2021,O3,0.015
November 2021,O3,0.013
December 2021,O3,0.017
July 2017,SO2,0.0014
August 2017,SO2,0.001
September 2017,SO2,0.0011
October 2017,SO2,0.0012
November 2017,SO2,0.001
December 2017,SO2,0.001
January 2018,SO2,0.001
February 2018,SO2,0.0011
March 2018,SO2,0.001
April 2018,SO2,0.001
May 2018,SO2,0.001
June 2018,SO2,0.0011
July 2018,SO2,0.0011
August 2018,SO2,0.0011
September 2018,SO2,0.001
October 2018,SO2,0.001
November 2018,SO2,0.001
December 2018,SO2,0.0009
January 2019,SO2,0.001
February 2019,SO2,0.0011
March 2019,SO2,0.0011
April 2019,SO2,0.001
May 2019,SO2,0.001
June 2019,SO2,0.001
July 2019,SO2,0.0011
August 2019,SO2,0.0013
September 2019,SO2,0.0011
October 2019,SO2,0.001
November 2019,SO2,0.001
December 2019,SO2,0.001
January 2020,SO2,0.001
February 2020,SO2,0.001
March 2020,SO2,0.0009
April 2020,SO2,0.0009
May 2020,SO2,0.0009
June 2020,SO2,0.001
July 2020,SO2,0.001
August 2020,SO2,0.0011
September 2020,SO2,0.0011
October 2020,SO2,0.0011
November 2020,SO2,0.0011
December 2020,SO2,0.0012
January 2021,SO2,0.0011
February 2021,SO2,0.0012
March 2021,SO2,0.0011
April 2021,SO2,0.0011
May 2021,SO2,0.001
June 2021,SO2,0.0011
July 2021,SO2,0.0011
August 2021,SO2,0.0011
September 2021,SO2,0.0011
October 2021,SO2,0.0011
November 2021,SO2,0.0012
December 2021,SO2,0.0012
