Country,Year,Emissions (per capita)
Brunei,2000,15.957318
Brunei,2001,15.229579
Brunei,2002,13.439647
Brunei,2003,15.810981
Brunei,2004,15.647754
Brunei,2005,14.802576
Brunei,2006,19.161533
Brunei,2007,21.323994
Brunei,2008,23.832714
Brunei,2009,19.8424
Brunei,2010,20.242641
Brunei,2011,23.79846
Brunei,2012,23.361937
Brunei,2013,18.52315
Brunei,2014,21.194212
Brunei,2015,16.451077
Brunei,2016,17.917582
Brunei,2017,21.63514
Brunei,2018,21.516985
Brunei,2019,24.500765
Brunei,2020,25.1325
Brunei,2021,25.375603
Indonesia,2000,1.3141832
Indonesia,2001,1.4601983
Indonesia,2002,1.4014755
Indonesia,2003,1.5212358
Indonesia,2004,1.5182068
Indonesia,2005,1.519271
Indonesia,2006,1.4954154
Indonesia,2007,1.6514556
Indonesia,2008,1.5370413
Indonesia,2009,1.6554897
Indonesia,2010,1.8269529
Indonesia,2011,2.026407
Indonesia,2012,2.06198
Indonesia,2013,1.9309183
Indonesia,2014,1.9041111
Indonesia,2015,2.0809183
Indonesia,2016,2.062575
Indonesia,2017,2.1056583
Indonesia,2018,2.224542
Indonesia,2019,2.4144928
Indonesia,2020,2.2290483
Indonesia,2021,2.2499223
Malaysia,2000,5.3552947
Malaysia,2001,5.559729
Malaysia,2002,5.4690075
Malaysia,2003,6.1999974
Malaysia,2004,6.6978498
Malaysia,2005,6.556486
Malaysia,2006,6.4190946
Malaysia,2007,6.475966
Malaysia,2008,6.9709706
Malaysia,2009,6.8085785
Malaysia,2010,6.9415693
Malaysia,2011,6.9713326
Malaysia,2012,7.1809983
Malaysia,2013,8.019667
Malaysia,2014,8.006472
Malaysia,2015,7.580128
Malaysia,2016,7.5117126
Malaysia,2017,7.63407
Malaysia,2018,8.092997
Malaysia,2019,8.154313
Malaysia,2020,8.109902
Malaysia,2021,8.3059
Singapore,2000,11.938545
Singapore,2001,11.937913
Singapore,2002,11.274996
Singapore,2003,11.696595
Singapore,2004,10.972935
Singapore,2005,9.571876
Singapore,2006,9.429944
Singapore,2007,6.600801
Singapore,2008,9.652978
Singapore,2009,9.030742
Singapore,2010,8.336908
Singapore,2011,6.440885
Singapore,2012,9.423168
Singapore,2013,10.023379
Singapore,2014,9.354522
Singapore,2015,10.960185
Singapore,2016,7.0535355
Singapore,2017,6.94156
Singapore,2018,8.6052475
Singapore,2019,5.7579384
Singapore,2020,9.274892
Singapore,2021,9.397426
Thailand,2000,2.6535778
Thailand,2001,2.706475
Thailand,2002,2.875398
Thailand,2003,2.9499335
Thailand,2004,3.1745062
Thailand,2005,3.2561638
Thailand,2006,3.2543156
Thailand,2007,3.3531868
Thailand,2008,3.3306782
Thailand,2009,3.3744862
Thailand,2010,3.5303538
Thailand,2011,3.56379
Thailand,2012,3.793507
Thailand,2013,3.7907274
Thailand,2014,3.8948538
Thailand,2015,3.9419734
Thailand,2016,4.022904
Thailand,2017,3.9965413
Thailand,2018,4.0539184
Thailand,2019,3.95287
Thailand,2020,3.8034203
Thailand,2021,3.7320516
Vietnam,2000,0.68271756
Vietnam,2001,0.7640383
Vietnam,2002,0.86217517
Vietnam,2003,0.9482761
Vietnam,2004,1.080523
Vietnam,2005,1.1527941
Vietnam,2006,1.1870176
Vietnam,2007,1.1966354
Vietnam,2008,1.335355
Vietnam,2009,1.4395142
Vietnam,2010,1.596639
Vietnam,2011,1.7267891
Vietnam,2012,1.6156216
Vietnam,2013,1.6776536
Vietnam,2014,1.9931153
Vietnam,2015,2.3371155
Vietnam,2016,2.3967814
Vietnam,2017,2.4421468
Vietnam,2018,2.7153149
Vietnam,2019,3.5686002
Vietnam,2020,3.7594166
Vietnam,2021,3.6171148
